Indicator,PUBLISH STATES,Year,WHO region,Country,Age Group,Sex,Display Value,Numeric,Low,High,Comments
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Saint Vincent and the Grenadines,18+  years,Female,28.1 [25.1-31.1],28.1,25.1,31.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Mexico,18+  years,Both sexes,28.1 [27.7-28.5],28.1,27.7,28.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Saudi Arabia,18+  years,Female,28.4 [27.6-29.3],28.4,27.6,29.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Bahamas,18+  years,Both sexes,28.4 [26.4-30.2],28.4,26.4,30.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,United States of America,18+  years,Male,28.5 [28.2-28.9],28.5,28.2,28.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Saudi Arabia,18+  years,Both sexes,28.5 [27.7-29.2],28.5,27.7,29.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,South Africa,18+  years,Female,28.7 [28.3-29.1],28.7,28.3,29.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Saint Lucia,18+  years,Both sexes,28.8 [28.2-29.4],28.8,28.2,29.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Antigua and Barbuda,18+  years,Female,28.9 [25.9-31.8],28.9,25.9,31.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Belize,18+  years,Both sexes,28.9 [27.9-29.8],28.9,27.9,29.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,United Arab Emirates,18+  years,Both sexes,29 [27.9-30],29,27.9,30,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Saint Kitts and Nevis,18+  years,Both sexes,29.2 [28.2-30.1],29.2,28.2,30.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Egypt,18+  years,Both sexes,29.2 [28.6-29.7],29.2,28.6,29.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Palau,18+  years,Both sexes,29.4 [28.6-30],29.4,28.6,30,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Kuwait,18+  years,Male,29.5 [28.4-30.6],29.5,28.4,30.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Saint Lucia,18+  years,Both sexes,29.6 [28.8-30.3],29.6,28.8,30.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Tuvalu,18+  years,Female,29.7 [26.8-32.6],29.7,26.8,32.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Tuvalu,18+  years,Female,29.9 [26.9-32.9],29.9,26.9,32.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Marshall Islands,18+  years,Female,30 [28.8-31.2],30,28.8,31.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Kiribati,18+  years,Female,30.3 [29.2-31.4],30.3,29.2,31.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Kuwait,18+  years,Female,30.4 [29.5-31.4],30.4,29.5,31.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Kuwait,18+  years,Female,30.8 [29.7-32.1],30.8,29.7,32.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Tonga,18+  years,Both sexes,31.8 [31.3-32.3],31.8,31.3,32.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Nauru,18+  years,Both sexes,32.5 [31.6-33.3],32.5,31.6,33.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Tonga,18+  years,Female,33.3 [32.5-34],33.3,32.5,34,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Tonga,18+  years,Female,33.5 [32.6-34.4],33.5,32.6,34.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,San Marino,18+  years,Female,No data,,,,Estimate could not be calculated due to lack of covariate data.
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Ethiopia,18+  years,Male,20 [19.3-20.7],20,19.3,20.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Eritrea,18+  years,Male,20.2 [19.5-20.8],20.2,19.5,20.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Eritrea,18+  years,Both sexes,20.5 [20-20.9],20.5,20,20.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Bangladesh,18+  years,Both sexes,20.6 [20.2-21],20.6,20.2,21,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Uganda,18+  years,Male,20.8 [20.2-21.5],20.8,20.2,21.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Eritrea,18+  years,Female,20.8 [20.1-21.4],20.8,20.1,21.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Madagascar,18+  years,Male,20.9 [19.7-22.1],20.9,19.7,22.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Viet Nam,18+  years,Male,21 [20.5-21.6],21,20.5,21.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Madagascar,18+  years,Female,21 [20.2-21.7],21,20.2,21.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Uganda,18+  years,Male,21 [20.2-21.8],21,20.2,21.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Rwanda,18+  years,Male,21.1 [20.5-21.6],21.1,20.5,21.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Madagascar,18+  years,Female,21.2 [20.2-22.1],21.2,20.2,22.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Nepal,18+  years,Female,21.4 [20.9-22],21.4,20.9,22,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Cambodia,18+  years,Male,21.5 [20.7-22.3],21.5,20.7,22.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Zambia,18+  years,Male,21.5 [20.2-22.8],21.5,20.2,22.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Afghanistan,18+  years,Both sexes,21.6 [19.7-23.6],21.6,19.7,23.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Viet Nam,18+  years,Both sexes,21.6 [20.9-22.2],21.6,20.9,22.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Uganda,18+  years,Both sexes,21.7 [21.2-22.2],21.7,21.2,22.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Japan,18+  years,Female,21.8 [21.5-22.2],21.8,21.5,22.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Democratic People's Republic of Korea,18+  years,Female,21.8 [18.3-25.2],21.8,18.3,25.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Malawi,18+  years,Male,22 [21.3-22.8],22,21.3,22.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Nepal,18+  years,Male,22 [21.3-22.8],22,21.3,22.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Nepal,18+  years,Female,22 [21.4-22.7],22,21.4,22.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Democratic Republic of the Congo,18+  years,Both sexes,22.2 [21.3-23],22.2,21.3,23,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Lao People's Democratic Republic,18+  years,Male,22.4 [21.6-23.2],22.4,21.6,23.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Djibouti,18+  years,Male,22.6 [20.3-25],22.6,20.3,25,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Philippines,18+  years,Male,22.6 [21.9-23.4],22.6,21.9,23.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Myanmar,18+  years,Both sexes,22.6 [21.9-23.4],22.6,21.9,23.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Malawi,18+  years,Both sexes,22.8 [22.2-23.4],22.8,22.2,23.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Sierra Leone,18+  years,Both sexes,22.8 [22.3-23.3],22.8,22.3,23.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Comoros,18+  years,Male,22.9 [22.1-23.7],22.9,22.1,23.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Indonesia,18+  years,Female,23 [22.3-23.7],23,22.3,23.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,United Republic of Tanzania,18+  years,Both sexes,23.1 [22.6-23.5],23.1,22.6,23.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Mauritania,18+  years,Male,23.2 [21.6-24.8],23.2,21.6,24.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Myanmar,18+  years,Female,23.2 [22.1-24.2],23.2,22.1,24.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Zimbabwe,18+  years,Both sexes,23.3 [22.9-23.7],23.3,22.9,23.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Pakistan,18+  years,Male,23.3 [22.2-24.5],23.3,22.2,24.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Zambia,18+  years,Female,23.4 [22.6-24.1],23.4,22.6,24.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,China,18+  years,Both sexes,23.4 [23.1-23.7],23.4,23.1,23.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Sri Lanka,18+  years,Female,23.5 [22.4-24.7],23.5,22.4,24.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Haiti,18+  years,Both sexes,23.6 [22.4-25],23.6,22.4,25,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Congo,18+  years,Female,23.7 [22.9-24.5],23.7,22.9,24.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Switzerland,18+  years,Female,23.8 [22.5-25.2],23.8,22.5,25.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Cabo Verde,18+  years,Male,23.9 [22.8-25],23.9,22.8,25,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,China,18+  years,Both sexes,23.9 [23.4-24.4],23.9,23.4,24.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Nigeria,18+  years,Female,24 [23.3-24.7],24,23.3,24.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,United Republic of Tanzania,18+  years,Female,24 [23.3-24.6],24,23.3,24.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Bolivia (Plurinational State of),18+  years,Male,24.2 [23-25.5],24.2,23,25.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Cameroon,18+  years,Both sexes,24.2 [23.5-24.9],24.2,23.5,24.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,China,18+  years,Male,24.2 [23.5-24.9],24.2,23.5,24.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Denmark,18+  years,Female,24.4 [23.6-25.2],24.4,23.6,25.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Thailand,18+  years,Female,24.4 [23.7-25],24.4,23.7,25,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Botswana,18+  years,Both sexes,24.4 [23.7-25],24.4,23.7,25,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Sao Tome and Principe,18+  years,Both sexes,24.4 [23.9-24.9],24.4,23.9,24.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Gambia,18+  years,Female,24.5 [23.7-25.3],24.5,23.7,25.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Solomon Islands,18+  years,Male,24.5 [23.4-25.5],24.5,23.4,25.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Ghana,18+  years,Female,24.6 [24-25.2],24.6,24,25.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Equatorial Guinea,18+  years,Male,24.7 [22.2-27.1],24.7,22.2,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Cameroon,18+  years,Female,24.7 [24.1-25.3],24.7,24.1,25.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Sweden,18+  years,Female,24.8 [24-25.7],24.8,24,25.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Guyana,18+  years,Male,25 [24-26.1],25,24,26.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Cuba,18+  years,Male,25.1 [24-26.2],25.1,24,26.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Iceland,18+  years,Female,25.1 [23.5-26.8],25.1,23.5,26.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Maldives,18+  years,Both sexes,25.1 [24.4-25.7],25.1,24.4,25.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Kyrgyzstan,18+  years,Male,25.2 [24.5-25.9],25.2,24.5,25.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,The former Yugoslav republic of Macedonia,18+  years,Female,25.2 [23.7-26.7],25.2,23.7,26.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,France,18+  years,Both sexes,25.2 [24.6-25.7],25.2,24.6,25.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Yemen,18+  years,Male,25.2 [22.7-27.7],25.2,22.7,27.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Serbia,18+  years,Female,25.2 [24-26.5],25.2,24,26.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Austria,18+  years,Both sexes,25.3 [24-26.6],25.3,24,26.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Denmark,18+  years,Both sexes,25.3 [24.6-25.9],25.3,24.6,25.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Romania,18+  years,Male,25.4 [24.3-26.5],25.4,24.3,26.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Colombia,18+  years,Male,25.4 [24.6-26.1],25.4,24.6,26.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Brazil,18+  years,Male,25.5 [25-25.9],25.5,25,25.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Tunisia,18+  years,Male,25.5 [24.6-26.5],25.5,24.6,26.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Algeria,18+  years,Male,25.5 [23.9-27.1],25.5,23.9,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Estonia,18+  years,Both sexes,25.5 [24.5-26.7],25.5,24.5,26.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Gabon,18+  years,Both sexes,25.5 [24.5-26.3],25.5,24.5,26.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Solomon Islands,18+  years,Both sexes,25.5 [24.7-26.2],25.5,24.7,26.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Paraguay,18+  years,Female,25.6 [22.6-28.6],25.6,22.6,28.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Brazil,18+  years,Both sexes,25.6 [25.3-25.9],25.6,25.3,25.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Colombia,18+  years,Both sexes,25.6 [25.2-26],25.6,25.2,26,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Seychelles,18+  years,Male,25.6 [24.9-26.4],25.6,24.9,26.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Albania,18+  years,Female,25.6 [24.6-26.7],25.6,24.6,26.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Germany,18+  years,Female,25.6 [24.7-26.5],25.6,24.7,26.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Poland,18+  years,Female,25.7 [24.8-26.5],25.7,24.8,26.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Cuba,18+  years,Both sexes,25.7 [24.9-26.4],25.7,24.9,26.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Romania,18+  years,Male,25.7 [24.3-27.1],25.7,24.3,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Portugal,18+  years,Female,25.7 [24.5-26.9],25.7,24.5,26.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Ukraine,18+  years,Female,25.8 [24.2-27.3],25.8,24.2,27.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Kyrgyzstan,18+  years,Both sexes,25.8 [25.3-26.2],25.8,25.3,26.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Latvia,18+  years,Both sexes,25.8 [24.7-27.1],25.8,24.7,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Sweden,18+  years,Both sexes,25.8 [25-26.6],25.8,25,26.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Gabon,18+  years,Female,25.9 [25.1-26.7],25.9,25.1,26.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Mauritius,18+  years,Female,25.9 [25.1-26.7],25.9,25.1,26.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Montenegro,18+  years,Both sexes,25.9 [24-27.7],25.9,24,27.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Norway,18+  years,Both sexes,25.9 [25.3-26.5],25.9,25.3,26.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Netherlands,18+  years,Male,25.9 [24.9-26.8],25.9,24.9,26.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Maldives,18+  years,Female,25.9 [25.1-26.8],25.9,25.1,26.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Bolivia (Plurinational State of),18+  years,Both sexes,25.9 [25-26.9],25.9,25,26.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Republic of Moldova,18+  years,Male,26 [25.2-26.9],26,25.2,26.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Honduras,18+  years,Both sexes,26 [25.2-26.9],26,25.2,26.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Czech Republic,18+  years,Female,26 [24.9-27.1],26,24.9,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Norway,18+  years,Both sexes,26 [25.2-26.8],26,25.2,26.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Ukraine,18+  years,Both sexes,26 [24.5-27.5],26,24.5,27.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Israel,18+  years,Both sexes,26.1 [25.5-26.6],26.1,25.5,26.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Botswana,18+  years,Female,26.2 [25.2-27.2],26.2,25.2,27.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Cyprus,18+  years,Female,26.2 [25-27.5],26.2,25,27.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Belgium,18+  years,Male,26.2 [25.1-27.4],26.2,25.1,27.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Mauritius,18+  years,Female,26.2 [25.2-27.3],26.2,25.2,27.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Kyrgyzstan,18+  years,Both sexes,26.2 [25.7-26.8],26.2,25.7,26.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Portugal,18+  years,Both sexes,26.2 [25.4-27],26.2,25.4,27,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Albania,18+  years,Male,26.3 [25.5-27],26.3,25.5,27,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,South Sudan,18+  years,Female,26.3 [25.3-27.4],26.3,25.3,27.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Guyana,18+  years,Both sexes,26.3 [25.6-27.1],26.3,25.6,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,El Salvador,18+  years,Male,26.4 [25-27.9],26.4,25,27.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Latvia,18+  years,Male,26.4 [25.2-27.7],26.4,25.2,27.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Luxembourg,18+  years,Both sexes,26.4 [25.8-27],26.4,25.8,27,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Seychelles,18+  years,Both sexes,26.4 [26-26.9],26.4,26,26.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Uruguay,18+  years,Both sexes,26.4 [25.7-27.2],26.4,25.7,27.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Mongolia,18+  years,Female,26.4 [25.6-27.1],26.4,25.6,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Montenegro,18+  years,Male,26.5 [24.1-29],26.5,24.1,29,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Slovakia,18+  years,Both sexes,26.5 [25.8-27.2],26.5,25.8,27.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Peru,18+  years,Female,26.6 [26.2-26.9],26.6,26.2,26.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Uruguay,18+  years,Female,26.6 [25.4-27.6],26.6,25.4,27.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Spain,18+  years,Both sexes,26.6 [26.2-27],26.6,26.2,27,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Botswana,18+  years,Female,26.6 [25.4-27.8],26.6,25.4,27.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Poland,18+  years,Male,26.7 [26-27.3],26.7,26,27.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Algeria,18+  years,Female,26.7 [24.9-28.5],26.7,24.9,28.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Slovenia,18+  years,Both sexes,26.7 [24.8-28.6],26.7,24.8,28.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Sudan,18+  years,Female,26.7 [25.5-28],26.7,25.5,28,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Lesotho,18+  years,Female,26.8 [26.1-27.4],26.8,26.1,27.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Cyprus,18+  years,Both sexes,26.8 [25.9-27.7],26.8,25.9,27.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Vanuatu,18+  years,Female,26.8 [25.9-27.7],26.8,25.9,27.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Australia,18+  years,Both sexes,26.9 [26.7-27.2],26.9,26.7,27.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Oman,18+  years,Both sexes,26.9 [26-27.8],26.9,26,27.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,United Kingdom of Great Britain and Northern Ireland,18+  years,Both sexes,27 [26.9-27.2],27,26.9,27.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Venezuela (Bolivarian Republic of),18+  years,Both sexes,27 [26.4-27.6],27,26.4,27.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Ecuador,18+  years,Both sexes,27 [26.4-27.6],27,26.4,27.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Grenada,18+  years,Both sexes,27 [26.2-27.7],27,26.2,27.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Belize,18+  years,Male,27.1 [26.1-28.2],27.1,26.1,28.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Venezuela (Bolivarian Republic of),18+  years,Male,27.1 [26.3-27.9],27.1,26.3,27.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Lebanon,18+  years,Female,27.1 [26.3-27.9],27.1,26.3,27.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Fiji,18+  years,Both sexes,27.1 [26.6-27.6],27.1,26.6,27.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Chile,18+  years,Male,27.2 [26.6-27.8],27.2,26.6,27.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Ireland,18+  years,Both sexes,27.2 [26.9-27.6],27.2,26.9,27.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Iraq,18+  years,Male,27.2 [26.1-28.3],27.2,26.1,28.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Canada,18+  years,Both sexes,27.2 [26.6-27.8],27.2,26.6,27.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Malta,18+  years,Both sexes,27.2 [25.7-28.5],27.2,25.7,28.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Hungary,18+  years,Male,27.3 [26.2-28.4],27.3,26.2,28.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Luxembourg,18+  years,Male,27.3 [26.5-28.1],27.3,26.5,28.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Venezuela (Bolivarian Republic of),18+  years,Male,27.4 [26.3-28.4],27.4,26.3,28.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Azerbaijan,18+  years,Both sexes,27.4 [26.5-28.3],27.4,26.5,28.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Bahamas,18+  years,Male,27.5 [25.2-29.8],27.5,25.2,29.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Malta,18+  years,Male,27.5 [25.7-29.3],27.5,25.7,29.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Mexico,18+  years,Male,27.5 [26.9-28.1],27.5,26.9,28.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Slovenia,18+  years,Male,27.5 [25-29.8],27.5,25,29.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Andorra,18+  years,Both sexes,27.5 [25.4-29.3],27.5,25.4,29.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Micronesia (Federated States of),18+  years,Male,27.6 [26.9-28.4],27.6,26.9,28.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Egypt,18+  years,Male,27.6 [26.9-28.3],27.6,26.9,28.3,
